area,site,year,species,length_mm,length_cm,tag,fish_id,retained,month,day,drift,cell
BL,REF,2018,GPR,260,26,,122896,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,260,26,,122898,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,250,25,,122900,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,310,31,,122901,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,290,29,,122903,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,350,35,,122904,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,330,33,,122906,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,122908,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,230,23,,122909,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,230,23,,122944,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,270,27,,122984,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,122986,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122988,No,September,7,BLR0907184002,BL40
BL,REF,2018,OLV,270,27,,122989,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,360,36,,122991,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,210,21,,122993,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,122995,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,270,27,,122997,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122998,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,340,34,,122999,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,310,31,,123001,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,280,28,,123002,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,290,29,,123003,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,280,28,,123005,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,260,26,,123007,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,260,26,,123010,No,September,7,BLR0907184002,BL40
BL,REF,2018,KLP,330,33,,123014,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,270,27,,123016,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,330,33,,123019,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,180,18,,123021,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,280,28,,123027,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,340,34,,123030,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,250,25,,123032,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,360,36,,123034,Yes,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,123035,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,340,34,,123038,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,310,31,,123041,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,123043,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,280,28,,123044,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,123046,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,290,29,,123049,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,200,20,,123051,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,290,29,,123052,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,260,26,,123054,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,230,23,,123055,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,290,29,,123057,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,280,28,,123060,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,123062,No,September,7,BLR0907184002,BL40
